model;augmentation;sheduler;time;lr;epoch;train_loss;train_accuracy;val_loss;val_accuracy
с нуля;Base;None;267.8641619682312;0.01;0;2.87325209925789;0.19998187951893479;2.5756368059100527;0.3109217171717172
с нуля;Base;None;140.85767912864685;0.01;1;2.2294087232981186;0.41720953539981387;2.0406823790434636;0.45580808080808083
с нуля;Base;None;142.06304359436035;0.01;2;1.748658425422735;0.5517887823036725;1.9433366937769785;0.5015782828282829
с нуля;Base;None;142.68220019340515;0.01;3;1.408463911198112;0.6472412126852316;1.996519338904005;0.5112058080808081
с нуля;Base;None;140.12321162223816;0.01;4;1.164261999348886;0.7085980564106236;2.832264010578093;0.4365530303030303
с нуля;Base;None;142.05904531478882;0.01;5;0.9835901489424393;0.7551318992053834;1.517249226720646;0.6029040404040404
с нуля;Base;None;139.797607421875;0.01;6;0.8572955714563095;0.7802645590235522;1.239364792075422;0.6766098484848485
с нуля;Base;None;139.55800914764404;0.01;7;0.7635973281995698;0.8042037278974873;1.3567883950291257;0.6466224747474747
с нуля;Base;None;139.33584189414978;0.01;8;0.675293819352529;0.8258879035721955;1.3998743015708346;0.65072601010101
с нуля;Base;None;139.51784205436707;0.01;9;0.6124000135467562;0.8421023784809221;1.0871814765562915;0.7214330808080808
с нуля;Base;MultiStep;141.22930145263672;[0.001];0;2.8634384146944405;0.2099503812012313;2.5546595111037744;0.32749368686868685
с нуля;Base;MultiStep;140.42911863327026;[0.001];1;2.4269217138207115;0.35809426229508196;2.4167754734405364;0.3641098484848485
с нуля;Base;MultiStep;141.09747576713562;[0.001];2;2.3488285005352902;0.377458568974157;2.3435778039874453;0.38620580808080807
с нуля;Base;MultiStep;140.07684135437012;[0.001];3;2.2811677414256932;0.3983340342902141;2.2906139149810327;0.40404040404040403
с нуля;Base;MultiStep;140.19891571998596;[0.001];4;2.216158890828295;0.4199801793256496;2.233308601861048;0.41950757575757575
с нуля;Base;MultiStep;140.54665207862854;[0.001];5;2.1529406735990766;0.43575170914167083;2.1699234277310997;0.43986742424242425
с нуля;Base;MultiStep;140.34794116020203;[0.0001];6;2.0895148541729522;0.4522771404538621;2.092204243245751;0.4649621212121212
с нуля;Base;MultiStep;139.77457070350647;[0.0001];7;2.046112792460679;0.46536751020115974;2.0723481298697117;0.46433080808080807
с нуля;Base;MultiStep;140.28889203071594;[0.0001];8;2.037428321796734;0.46815493235020406;2.0691190018798364;0.4689078282828283
с нуля;Base;MultiStep;140.65591192245483;[0.0001];9;2.034200097275613;0.4719960269167442;2.0650794849251257;0.4706439393939394
с нуля;Base;Combo1;141.62029480934143;[0.001];0;2.900539199337689;0.19465647147254636;2.6617659185871934;0.291824494949495
с нуля;Base;Combo1;140.18936204910278;[0.001];1;2.527828270691451;0.3286015015391224;2.5271698489333643;0.32938762626262624
с нуля;Base;Combo1;139.08429837226868;[0.001];2;2.4626887635893175;0.34565600615648934;2.4650892440718835;0.34785353535353536
с нуля;Base;Combo1;138.9412922859192;[0.001];3;2.3985065377955874;0.3662619013529959;2.4048537112245656;0.36158459595959597
с нуля;Base;Combo1;139.57986855506897;[0.001];4;2.3308951698536435;0.38627049180327866;2.3522006851254087;0.3841540404040404
с нуля;Base;Combo1;140.47900199890137;[0.001];5;2.2663487534335607;0.40674999105161425;2.274042747237466;0.41398358585858586
с нуля;Base;Combo1;141.60225701332092;[0.0001];6;2.2071763985021664;0.42560200264872217;2.2060507879112707;0.4337121212121212
с нуля;Base;Combo1;140.9056363105774;[0.0001];7;2.162760165581016;0.43832772567828765;2.20150916805171;0.4354482323232323
с нуля;Base;Combo1;140.19319939613342;[0.0001];8;2.1589477869100446;0.43997534719736564;2.1903191762741168;0.4365530303030303
с нуля;Base;Combo1;142.05552625656128;[0.0001];9;2.1500889916607386;0.44237015892333026;2.1867743935247863;0.4395517676767677
feature_extractor;Base;None;116.6919846534729;0.01;0;2.6619928372478903;0.33193701231297873;2.2068528129596903;0.5263573232323232
feature_extractor;Base;None;114.9163269996643;0.01;1;1.9555080634537743;0.5834179701481852;1.797686026553915;0.6185290404040404
feature_extractor;Base;None;114.35423278808594;0.01;2;1.6512454451431875;0.6387055712649438;1.5819183286994394;0.6532512626262627
feature_extractor;Base;None;115.30701184272766;0.01;3;1.47357572088075;0.675352566397022;1.45473594195915;0.6652462121212122
feature_extractor;Base;None;115.47737002372742;0.01;4;1.362840872664639;0.6881219128069296;1.3663529530920164;0.6838699494949495
feature_extractor;Base;None;116.28448963165283;0.01;5;1.276130665337675;0.7072367832343046;1.3027685227418186;0.6908143939393939
feature_extractor;Base;None;115.12039828300476;0.01;6;1.2124943134566062;0.7144592490514711;1.2484426718167585;0.6990214646464646
feature_extractor;Base;None;116.13687300682068;0.01;7;1.1626900996703768;0.724079882239244;1.2094161962017869;0.7105429292929293
feature_extractor;Base;None;114.69759941101074;0.01;8;1.1205411688729665;0.7288594387572482;1.162469200112603;0.711489898989899
feature_extractor;Base;None;115.71953797340393;0.01;9;1.081143710550783;0.7404006192282913;1.1437300229915466;0.7170138888888888
feature_extractor;Base;Multistep;117.4226770401001;[0.0001];0;2.6884785999897787;0.324452806213759;2.2068528129596903;0.5104166666666666
feature_extractor;Base;Multistep;116.15069937705994;[0.0001];1;1.9745502737411766;0.5765534397594674;1.797686026553915;0.6119002525252525
feature_extractor;Base;Multistep;116.29519391059875;[0.0001];2;1.6611421477846704;0.6393945969647076;1.5819183286994394;0.6466224747474747
feature_extractor;Base;Multistep;116.49490451812744;[0.0001];3;1.4848830148122196;0.6676457692032358;1.45473594195915;0.6589330808080808
feature_extractor;Base;Multistep;115.99587512016296;[0.0001];4;1.3703254518550556;0.688827716729902;1.3663529530920164;0.6789772727272727
feature_extractor;Base;Multistep;115.40691566467285;[0.0001];5;1.2864490687586856;0.7010142995203664;1.3027685227418186;0.6887626262626263
feature_extractor;Base;Multistep;116.19961452484131;[0.0001];6;1.2175659355117765;0.7147254635263799;1.2484426718167585;0.703125
feature_extractor;Base;Multistep;116.87191820144653;[0.0001];7;1.1658535136406079;0.7241414023910087;1.2094161962017869;0.7050189393939394
feature_extractor;Base;Multistep;118.30582356452942;[0.0001];8;1.122348007416621;0.730234134512134;1.162469200112603;0.710385101010101
feature_extractor;Base;Multistep;119.78827047348022;[0.0001];9;1.083166133628662;0.7386165348271172;1.1437300229915466;0.7119633838383839
feature_extractor;Base;Combo1;129.90284729003906;[0.001];0;2.6642580120844612;0.33040236416350494;2.2210762681383076;0.5078914141414141
feature_extractor;Base;Combo1;116.07600164413452;[0.001];1;2.1499777485710045;0.5458940332164077;2.1541239300159494;0.5366161616161617
feature_extractor;Base;Combo1;116.8269464969635;[0.001];2;2.093686435941005;0.5592808182403894;2.091765687923239;0.5535037878787878
feature_extractor;Base;Combo1;114.89448499679565;[0.001];3;2.039772884293935;0.5744416207316201;2.0454807100874004;0.5658143939393939
feature_extractor;Base;Combo1;115.957364320755;[0.001];4;1.9910865439077652;0.5838508483069654;2.0016411181652183;0.5800189393939394
feature_extractor;Base;Combo1;116.47952127456665;[0.001];5;1.9493902572898365;0.5883988653446918;1.9596559905042552;0.5886994949494949
feature_extractor;Base;Combo1;115.49642825126648;[0.0001];6;1.906879896159776;0.6017442640847591;1.9266936044500331;0.5879103535353535
feature_extractor;Base;Combo1;115.69099593162537;[0.0001];7;1.8832576837081576;0.6066502165509342;1.9221397638320923;0.5909090909090909
feature_extractor;Base;Combo1;115.6627197265625;[0.0001];8;1.8788777241019703;0.6060741642207745;1.9172306349783232;0.5942234848484849
feature_extractor;Base;Combo1;117.60075283050537;[0.0001];9;1.8757323365024083;0.6074455043310187;1.9070065346631138;0.5953282828282829
fine_tuning;Base;None;139.97333359718323;0.01;0;1.7316643200066413;0.5898138288352782;0.7944704656950151;0.8148674242424242
fine_tuning;Base;None;140.50596928596497;0.01;1;0.5578393027121323;0.8692484250841148;0.4686309162038143;0.883364898989899
fine_tuning;Base;None;140.6980848312378;0.01;2;0.31051823874227863;0.9257339913379626;0.37674725827093075;0.9108270202020202
fine_tuning;Base;None;139.73998475074768;0.01;3;0.18954872091068972;0.9566014478488081;0.31331094501144957;0.9180871212121212
fine_tuning;Base;None;140.77648973464966;0.01;4;0.11842725682987397;0.9750239369317775;0.2901871008045896;0.9297664141414141
fine_tuning;Base;None;140.2827467918396;0.01;5;0.07428046536741689;0.9866266375545851;0.27494901250295267;0.9324494949494949
fine_tuning;Base;None;140.52475476264954;0.01;6;0.04970488400812623;0.9924229543990264;0.26386545691639185;0.9362373737373737
fine_tuning;Base;None;140.67822980880737;0.01;7;0.034288920573971544;0.9956980635693321;0.26016661087803616;0.9371843434343434
fine_tuning;Base;None;142.24729442596436;0.01;8;0.024290889580876416;0.9977483624454149;0.25940987762919804;0.9379734848484849
fine_tuning;Base;None;140.91080737113953;0.01;9;0.018023845501748365;0.9982259825327511;0.26168772294844567;0.9378156565656566
fine_tuning;Base;Multistep;116.89311575889587;[0.001];0;1.7763477448032412;0.5778733266518721;0.8098079848169076;0.8082386363636364
fine_tuning;Base;Multistep;117.2030382156372;[0.001];1;0.6895626554322555;0.8452074683227145;0.7261807974239792;0.8303345959595959
fine_tuning;Base;Multistep;119.66846108436584;[0.001];2;0.6285217436900826;0.8581915759896914;0.6776308664920354;0.8410669191919192
fine_tuning;Base;Multistep;117.819100856781;[0.001];3;0.579327642006645;0.8688256138592598;0.6368764401836828;0.852114898989899
fine_tuning;Base;Multistep;118.17128777503967;[0.001];4;0.532714462566584;0.8796945468537476;0.5980298309916198;0.8609532828282829
fine_tuning;Base;Multistep;119.9006884098053;[0.001];5;0.49403680795925675;0.8878722528455866;0.5678090128784228;0.8678977272727273
