model,augmentation,sheduler,time,lr,epoch,train_loss,train_accuracy,val_loss,val_accuracy
feature_extractor,Base,Combo1,240.22365856170654,[0.010000000000000002],0,2.4933661800284574,0.4669703897916816,1.235012614967847,0.6807133838383839
feature_extractor,Base,Combo1,99.65341854095459,[0.010000000000000002],1,1.0231219722714486,0.7384834275896628,1.098496721850501,0.7179608585858586
feature_extractor,Base,Combo1,99.11386036872864,[0.010000000000000002],2,0.9936190146025612,0.7425840253418284,1.0760512853210622,0.7223800505050505
feature_extractor,Base,Combo1,98.4651255607605,[0.010000000000000002],3,0.9701839016514574,0.7497382597179468,1.0543965284872536,0.7263257575757576
feature_extractor,Base,Combo1,99.22321009635925,[0.010000000000000002],4,0.9480329817038957,0.7534462470470328,1.0421965679134986,0.728219696969697
feature_extractor,Base,Combo1,100.04764747619629,[0.010000000000000002],5,0.9284253165971764,0.7619785328226788,1.035665378877611,0.7318497474747475
feature_extractor,Base,Combo1,99.2530779838562,[0.0010000000000000002],6,0.912268636919005,0.7659806983320209,1.0212695788253436,0.7329545454545454
feature_extractor,Base,Combo1,101.20464777946472,[0.0010000000000000002],7,0.8926464863219116,0.7714459249051472,1.0077948344476295,0.7375315656565656
feature_extractor,Base,Combo1,99.90498995780945,[0.0010000000000000002],8,0.8946228659829718,0.7700880073734698,1.0058751131850059,0.7372159090909091
feature_extractor,Base,Combo1,103.38022804260254,[0.0010000000000000002],9,0.8900392412098214,0.7708452645142817,1.00884045088532,0.7370580808080808
